clauses,total,well,trial,typed,time
3,20,20,1,0,0.539557
3,20,20,2,0,0.538429
3,20,20,3,0,0.538011
3,20,20,4,0,0.538892
3,20,20,5,0,0.538379
3,20,20,6,0,0.538383
3,20,20,7,0,0.539153
3,20,20,8,0,0.537794
3,20,20,9,0,0.547024
3,20,20,10,0,0.540597
